X Axis;Y Axis;Z Axis;speed;std speed;flashes;height;flash time;number of flashes;time;direction
7;19;0;-3.832.741.721;1.371.243.094;0.940505549;0.711875653;5.858.370.044;454;2.012.594.104;U
7;22;0;-2.658.670.463;1.838.550.188;0.942756763;0.760085808;5.201.098.901;546;1.997.233.572;U
7;24;0;-1.409.009.887;2.085.261.184;0.959538096;0.789273194;4.788.028.169;426;1.997.241.139;U
7;25;0;-2.464.066.237;220.706.008;0.959740352;0.816884136;4.671.003.717;269;2.019.535.671;U
7;26;0;1.620.038.004;2.374.461.572;0.979519748;0.877406364;4.563.043.478;184;2.012.841.825;V
7;27;0;8.664.288.618;2.183.080.771;0.981186338;0.887168219;4.626.153.846;130;2.022.363.546;U
7;28;0;2.097.534.266;2.119.348.719;0.97565048;0.938189785;4.645.070.423;71;1.881.449.669;U
7;29;0;2.778.591.337;1.613.189.537;0.998927937;0.9720563;4.729.032.258;62;1.943.622.433;U
7;30;0;320.714.388;1.426.716.366;0.995147636;0.962420932;4.546.511.628;43;1.965.337.848;U
7;31;0;3.142.061.598;1.195.532.724;0.726937618;0.760071499;4.571.428.571;7;1.033.613;U
7;32;0;;;;;;0;;U
7;33;0;;;;;;0;;U
8;1;0;;;;;;;;U
8;2;0;102.231.155;1.851.508.148;0.601684594;0.632837415;41.6;5;4.193.219.931;U
9;1;0;2.226.548.853;1.987.616.386;0.93847247;0.922577827;4.581.034.483;58;2.005.511.633;U
9;2;0;1.333.931.201;2.035.557.648;0.98832968;0.983971245;50;108;2.001.583.464;U
9;3;0;8.044.263.621;2.139.844.772;0.996667265;0.962208679;4.873.831.776;107;2.010.372.282;U
9;4;0;128.786.688;2.357.306.408;0.98816903;0.934906349;5.013.138.686;137;1.997.327.739;U
9;5;0;-719.403.023;2.242.800.729;0.981505695;0.901022448;5.068.518.519;162;1.982.796.483;U
9;6;0;-1.378.857.259;2.200.746.931;0.983888726;0.868737396;5.217.894.737;190;1.986.292.096;U
9;7;0;-2.036.979.654;2.072.738.558;0.985266815;0.869463457;5.577.808.219;365;1.977.832.501;U
9;9;0;-3.325.191.405;1.649.269.741;0.976279219;0.79995186;6.091.612.903;310;2.027.106.297;U
9;12;0;-363.931.365;1.442.939.639;0.937823252;0.706151486;6.310.869.565;138;1.995.587.818;U
9;15;0;-4.020.988.426;1.356.198.105;0.923126604;0.693497178;6.478.980.892;157;2.012.359.424;U
9;17;0;-3.592.915.699;1.282.560.106;0.931949584;0.664447683;5.844.736.842;152;1.970.102.186;U
9;19;0;-296.387.067;1.828.086.604;0.92532964;0.680937496;5.470.149.254;134;1.945.836.753;U
9;22;0;-1.006.090.382;1.873.799.384;0.957731093;0.771102606;493.372.093;86;1.943.431.539;U
9;24;0;0.140262697;228.321.546;0.976267141;0.802400187;4.644.444.444;54;1.934.811.498;U
9;25;0;8.706.712.729;2.281.256.873;0.989685619;0.863400526;4.246.511.628;43;1.617.727.935;U
9;25;0;1.259.750.195;224.195.632;0.979668575;0.879125674;4.570.700.637;471;1.999.815.597;U
9;26;0;2.236.605.816;2.006.898.151;0.98652183;0.961868878;4.838.461.538;260;2.027.241.409;U
9;27;0;2.508.995.931;1.916.139.211;0.994670282;0.957148567;4.759.328.358;268;2.022.336.911;U
9;28;0;3.225.730.642;1.434.788.583;0.775679725;0.735163671;4.370.731.707;41;1.937.395.924;U
9;29;0;4.870.073.428;788.003.128;0.684010053;0.673463035;35;5;1.078.373.879;U
9;30;0;2.944.444.655;;0.404318333;0.453147173;38;1;0;
9;31;0;;;;;;;;U
9;32;0;;;;;;0;;U
9;32;0;;;;;;0;;U
9;33;0;;;;;;0;;U
10;1;0;2.761.803.342;1.637.119.812;0.809768835;0.773269245;43.4;40;1.798.719.097;U
10;2;0;1.954.064.359;2.144.802.048;0.931259941;0.908779125;50.3;100;1.920.931.929;U
10;3;0;1.206.878.203;1.992.346.058;0.986006628;0.96834331;5.080.124.224;161;1.984.445.144;U
10;4;0;5.629.301.171;206.093.492;0.989144382;0.956030613;5.283.435.583;163;1.987.075.147;U
10;5;0;-106.879.551;2.280.489.044;0.990844024;0.90613351;5.216.149.068;161;2.030.017.633;U
10;6;0;-1.107.156.371;2.070.086.212;0.986835958;0.8919751;5.401.470.588;136;1.931.880.423;U
10;7;0;-1.680.183.445;2.027.318.281;0.989012958;0.905071682;5.788.181.818;110;1.976.469.825;U
10;9;0;-2.977.197.529;1.837.264.686;0.972751753;0.817689566;595.625;112;2.025.049.286;U
10;12;0;-3.829.726.219;141.123.116;0.93446156;0.678814333;5.971.681.416;113;191.004.374;U
10;15;0;-3.927.552.505;1.355.373.239;0.9169267;0.664087892;6.197.761.194;134;1.896.693.418;U
10;17;0;-3.798.547.442;150.128.836;0.931350838;0.687425587;5.876.923.077;156;198.951.067;U
10;19;0;-2.776.941.405;1.758.937.856;0.942660602;0.721465816;5.581.967.213;183;2.010.441.223;U
10;22;0;-1.185.630.916;2.128.136.746;0.953477575;0.758986938;483.220.339;177;2.013.409.394;U
10;24;0;2.096.927.166;2.304.367.741;0.97341879;0.851831141;4.847.692.308;130;1.989.457.694;U
10;25;0;1.426.456.095;2.175.065.913;0.985180508;0.865605142;475.257.732;97;199.892.418;U
10;26;0;1.837.157.067;1.762.310.308;0.992632688;0.875868677;4.729.032.258;93;1.998.922.798;U
10;27;0;25.003.432;1.838.397.865;0.993992902;0.913141523;4.622.972.973;74;1.988.666.779;U
10;28;0;2.869.368.478;1.816.458.163;0.880226865;0.812853182;47.875;48;1.976.366.533;U
10;29;0;3.142.536.586;1.582.755.468;0.774332643;0.748290565;4.666.666.667;9;1.824.114.275;U
10;30;0;;;;;;;;U
10;31;0;;;;;;;;
10;32;0;;;;;;;;U
10;33;0;;;;;;;;U
